GO	x2	list1InGO	list1OutGO	list2InGO	list2OutGO
GO:0022403	 0.562041224548392 	1	17	234	18453
GO:0022414	 0.99999999999999 	1	17	791	17896
GO:0022607	 0.86210248589184 	2	16	1358	17329
GO:0030029	 0.598395790048649 	1	17	251	18436
GO:0030030	 0.899962735956931 	1	17	435	18252
GO:0030036	 0.516706228881056 	1	17	214	18473
GO:0030154	 0.999999999998669 	1	17	1132	17555
GO:0030163	 0.523693106769872 	1	17	217	18470
GO:0030317	 0.00641574991173105 	1	17	30	18657
GO:0030318	 0.00052259505036719 	1	17	19	18668
GO:0030424	 0.408602187447289 	1	17	171	18516
GO:0030425	 0.411295582524015 	1	17	172	18515
GO:0030554	 0.962880293353502 	2	16	1501	17186
GO:0030855	 0.519042727969437 	1	17	215	18472
GO:0031032	 0.0220385540599163 	1	17	41	18646
GO:0031267	 0.000154465299858858 	2	16	135	18552
GO:0031323	 0.999999999999999 	4	14	4519	14168
GO:0031324	 0.999999999999757 	1	17	1363	17324
GO:0031325	 0.763671644461169 	1	17	1964	16723
GO:0031326	 1 	3	15	3115	15572
GO:0031327	 0.99999999999999 	1	17	994	17693
GO:0031329	 0.999999999998879 	1	17	636	18051
GO:0031625	 0.361426578728328 	1	17	154	18533
GO:0031647	 0.214436652614997 	1	17	106	18581
GO:0031974	 0.912844961221439 	1	17	445	18242
GO:0032182	 0.119938533312541 	1	17	77	18610
GO:0032196	 0.0300224082012357 	1	17	45	18642
GO:0032501	 0.470649440160965 	1	17	2670	16017
GO:0032502	 0.999999999999755 	3	15	3516	15171
GO:0032549	 0.586111153888856 	3	15	1874	16813
GO:0032550	 0.582461203058395 	3	15	1868	16819
GO:0032553	 0.606772792083573 	3	15	1908	16779
GO:0032555	 0.598269926571763 	3	15	1894	16793
GO:0032559	 0.960848726827693 	2	16	1498	17189
GO:0032561	 0.911568961682044 	1	17	444	18243
GO:0032991	 0.575459457133865 	7	11	5616	13071
GO:0033036	 0.667632381358936 	1	17	286	18401
GO:0033043	 0.99999999999994 	1	17	546	18141
GO:0033044	 0.344143312375153 	1	17	148	18539
GO:0033218	 0.000357032916448274 	2	16	149	18538
GO:0033554	 0.99999999999952 	1	17	900	17787
GO:0034097	 0.82822715579549 	1	17	383	18304
GO:0034613	 0.495332109420782 	1	17	205	18482
GO:0034622	 0.999999999999998 	1	17	544	18143
GO:0034641	 0.757380495250883 	4	14	3125	15562
GO:0034645	 0.999999999999992 	1	17	1053	17634
